"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"	"year_start"
"Business Administration"	"Business"	"University of Cincinnati"	"Business Administration"	20600	"1.07"	"2020-2021"	"1st"	"NA"	"$22,000"	"NA"	"NA"	"$1,400"	"University of Cincinnati"	"Cincinnati, OH"	"Cincinnati, OH"	"139"	31782.4	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Carnegie Mellon University"	"Chemical Engineering"	32000	"1.55"	"2020-2021"	"1st"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"25"	33321.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Carnegie Mellon University"	"Chemical Engineering"	32000	"1.55"	"2020-2021"	"1st"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"25"	33321.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Cornell University"	"Chemical Engineering"	39000	"1.61"	"2022-2023"	"1st"	"NA"	"$39,000"	"NA"	"NA"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Chemical Engineering"	27080	"1.16"	"2020-2021"	"1st"	"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 <span class=\\truncated\\> per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .</span>"	"$30,180"	"NA"	"NA"	"$3,100"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Chemical Engineering"	25000	"1.15"	"2020-2021"	"1st"	"$2800 University health insurance, ~$400 Mandatory fees"	"$25,000"	"NA"	"NA"	"NA"	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	"153"	34028.8	12875.2	0.0559154295996402	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Chemical Engineering"	28500	"1.31"	"2020-2021"	"1st"	"NA"	"$28,500"	"NA"	"NA"	"NA"	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	"153"	34028.8	12875.2	0.0559154295996402	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Louisiana State University - Baton Rouge"	"Chemical Engineering"	26500	"1.22"	"2020-2021"	"1st"	"NA"	"$28,500"	"NA"	"NA"	"$2,000"	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	"153"	34028.8	12875.2	0.0559154295996402	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Massachusetts Institute of Technology"	"Chemical Engineering"	43380	"1.55"	"2020-2021"	"3rd"	"NA"	"$43,380"	"NA"	"NA"	"NA"	"Massachusetts Institute of Technology"	"Cambridge, MA"	"Boston-Cambridge-Newton, MA"	"3"	46924.8	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Massachusetts Institute of Technology"	"Chemical Engineering"	44632	"1.60"	"2021-2022"	"1st"	"Fellowship for first 9 months. Extended insurance paid. Laptop provided. Required student activity <span class=\\truncated\\> fee ($368) and optional dental insurance ($544.56).</span>"	"$45,000"	"NA"	"NA"	"$368"	"Massachusetts Institute of Technology"	"Cambridge, MA"	"Boston-Cambridge-Newton, MA"	"3"	46924.8	12875.2	0	0	"2021"
"Chemical Engineering"	"Engineering and Computing"	"New York University"	"Chemical Engineering"	39000	"1.31"	"2022-2023"	"1st"	"NA"	"$39,000"	"NA"	"NA"	"NA"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Northeastern University"	"Chemical Engineering"	34800	"1.21"	"2020-2021"	"1st"	"NA"	"$34,800"	"NA"	"NA"	"NA"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Northwestern University"	"Chemical Engineering"	36960	"1.52"	"2023-2024"	"NA"	"NA"	"$36,960"	"NA"	"NA"	"NA"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0.0289855072463768	0	"2023"
"Chemical Engineering"	"Engineering and Computing"	"Purdue University - West Lafayette"	"Chemical Engineering"	30140	"1.42"	"2020-2021"	"1st"	"NA"	"$31,000"	"NA"	"NA"	"$860"	"Purdue University--West Lafayette"	"West Lafayette, IN"	"Lafayette-West Lafayette, IN"	"57"	32364.8	12875.2	0.060958853238265	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"Purdue University - West Lafayette"	"Chemical Engineering"	32500	"1.54"	"2022-2023"	"1st"	"NA"	"$32,500"	"NA"	"NA"	"NA"	"Purdue University--West Lafayette"	"West Lafayette, IN"	"Lafayette-West Lafayette, IN"	"57"	32364.8	12875.2	0.060958853238265	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Rensselaer Polytechnic Institute"	"Chemical Engineering"	31773	"1.40"	"2022-2023"	"1st"	"NA"	"$31,773"	"NA"	"NA"	"NA"	"Rensselaer Polytechnic Institute"	"Troy, NY"	"Albany-Schenectady-Troy, NY"	"50"	36441.6	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Syracuse University"	"Chemical Engineering"	21502	"1.01"	"2022-2023"	"1st"	"NA"	"NA"	"$21,502"	"NA"	"NA"	"Syracuse University"	"Syracuse, NY"	"Syracuse, NY"	"54"	34028.8	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Texas Tech University"	"Chemical Engineering"	24000	"1.18"	"2020-2021"	"1st"	"Out of pocket health insurance"	"$29,000"	"NA"	"NA"	"$5,000"	"Texas Tech University"	"Lubbock, TX"	"Lubbock, TX"	"218"	30409.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Arizona"	"Chemical Engineering"	29000	"1.40"	"2023-2024"	"1st"	"NA"	"$29,000"	"NA"	"NA"	"NA"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	"117"	32156.8	12875.2	0	0	"2023"
"Chemical Engineering"	"Engineering and Computing"	"University of California - Los Angeles"	"Chemical Engineering"	32000	"1.24"	"2020-2021"	"1st"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	"20"	44969.6	12875.2	0.04970101680628	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Houston"	"Chemical Engineering"	30000	"1.37"	"2020-2021"	"1st"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Houston"	"Chemical Engineering"	35000	"1.60"	"2020-2021"	"1st"	"NA"	"$35,000"	"NA"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Houston"	"Chemical Engineering"	30000	"1.37"	"2021-2022"	"1st"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2021"
"Chemical Engineering"	"Engineering and Computing"	"University of Houston"	"Chemical Engineering"	31135	"1.43"	"2021-2022"	"2nd"	"NA"	"$31,135"	"NA"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2021"
"Chemical Engineering"	"Engineering and Computing"	"University of Houston"	"Chemical Engineering"	33135	"1.52"	"2022-2023"	"1st"	"NA"	"$33,135"	"NA"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Iowa"	"Chemical Engineering"	31100	"1.40"	"2022-2023"	"1st"	"NA"	"$31,100"	"NA"	"NA"	"NA"	"University of Iowa"	"Iowa City, IA"	"Iowa City, IA"	"84"	35131.2	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Maryland - Baltimore County"	"Chemical Engineering"	32000	"1.24"	"2020-2021"	"1st"	"Full health insurance"	"$32,000"	"NA"	"NA"	"NA"	"University of Maryland--Baltimore County"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"166"	36483.2	12875.2	0.0716020429435064	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Maryland - Baltimore County"	"Chemical Engineering"	32000	"1.24"	"2020-2021"	"1st"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"University of Maryland--Baltimore County"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"166"	36483.2	12875.2	0.0716020429435064	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Michigan - Ann Arbor"	"Chemical Engineering"	37500	"1.62"	"2022-2023"	"1st"	"NA"	"$37,500"	"NA"	"NA"	"NA"	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	"25"	38542.4	12875.2	0.0505421865715983	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Minnesota - Twin Cities"	"Chemical Engineering"	33000	"1.44"	"2022-2023"	"1st"	"NA"	"$33,000"	"NA"	"NA"	"NA"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	"70"	37856	12875.2	0.0558487058487058	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Minnesota - Twin Cities"	"Chemical Engineering"	34000	"1.48"	"2022-2023"	"1st"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	"70"	37856	12875.2	0.0558487058487058	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Pennsylvania"	"Chemical Engineering"	35500	"1.47"	"2020-2021"	"5th"	"NA"	"$35,500"	"NA"	"NA"	"NA"	"University of Pennsylvania"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	"6"	36108.8	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of South Carolina"	"Chemical Engineering"	28500	"1.26"	"2020-2021"	"NA"	"NA"	"$28,500"	"NA"	"NA"	"NA"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	"104"	35609.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of South Carolina"	"Chemical Engineering"	28500	"1.26"	"2020-2021"	"1st"	"NA"	"$28,500"	"NA"	"NA"	"NA"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	"104"	35609.6	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of South Carolina"	"Chemical Engineering"	30000	"1.33"	"2022-2023"	"1st"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	"104"	35609.6	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Southern California"	"Chemical Engineering"	34000	"1.31"	"2021-2022"	"5th"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	"22"	44969.6	12875.2	0	0	"2021"
"Chemical Engineering"	"Engineering and Computing"	"University of Southern California"	"Chemical Engineering"	38000	"1.47"	"2022-2023"	"1st"	"NA"	"$38,000"	"NA"	"NA"	"NA"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	"22"	44969.6	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Texas - Austin"	"Chemical Engineering"	29000	"1.27"	"2020-2021"	"1st"	"NA"	"$30,000"	"NA"	"NA"	"$1,000"	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	"48"	36316.8	12875.2	0.0361552028218695	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Texas - Austin"	"Chemical Engineering"	35000	"1.53"	"2022-2023"	"1st"	"Health insurance, dental insurance, and vision insurance are provided by the University."	"$35,000"	"NA"	"NA"	"NA"	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	"48"	36316.8	12875.2	0.0361552028218695	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"University of Virginia"	"Chemical Engineering"	30000	"1.31"	"2020-2021"	"NA"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Virginia"	"Chemical Engineering"	30000	"1.31"	"2020-2021"	"1st"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Washington"	"Chemical Engineering"	34379	"1.48"	"2021-2022"	"1st"	"NA"	"$34,668"	"NA"	"NA"	"$289"	"University of Washington"	"Seattle, WA"	"Seattle-Tacoma-Bellevue, WA"	"62"	41204.8	12875.2	0	0	"2021"
"Chemical Engineering"	"Engineering and Computing"	"University of Wisconsin - Madison"	"Chemical Engineering"	29200	"1.28"	"2020-2021"	"5th"	"NA"	"$31,000"	"NA"	"NA"	"$1,800"	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	"46"	36441.6	12875.2	0.0306186868686869	0	"2020"
"Chemical Engineering"	"Engineering and Computing"	"University of Wisconsin - Madison"	"Chemical Engineering"	31500	"1.38"	"2022-2023"	"1st"	"NA"	"$33,000"	"NA"	"NA"	"$1,500"	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	"46"	36441.6	12875.2	0.0306186868686869	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Vanderbilt University"	"Chemical Engineering"	32500	"1.42"	"2022-2023"	"3rd"	"NA"	"$32,500"	"NA"	"NA"	"NA"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2022"
"Chemical Engineering"	"Engineering and Computing"	"Worcester Polytechnic Institute"	"Chemical Engineering"	31859	"1.41"	"2022-2023"	"3rd"	"NA"	"$31,894"	"NA"	"NA"	"$35"	"Worcester Polytechnic Institute"	"Worcester, MA"	"Worcester, MA"	"64"	37689.6	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Binghamton University - SUNY"	"Chemistry"	26000	"1.26"	"2022-2023"	"1st"	"NA"	"$26,000"	"NA"	"NA"	"NA"	"Binghamton University--SUNY"	"Binghamton, NY"	"Binghamton, NY"	"79"	33800	12875.2	0.0361552028218695	0	"2022"
"Chemistry"	"Arts and Sciences"	"Boston University"	"Chemistry"	35000	"1.22"	"2020-2021"	"NA"	"NA"	"$35,000"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Brown University"	"Chemistry"	35910	"1.58"	"2020-2021"	"1st"	"NA"	"$35,910"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Carnegie Mellon University"	"Chemistry"	30600	"1.48"	"2022-2023"	"1st"	"Have to pay 50% of insurance"	"$30,600"	"NA"	"NA"	"NA"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"25"	33321.6	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Colorado State University"	"Chemistry"	23150	"1.03"	"2020-2021"	"1st"	"Fees don&#39;t include health insurance (300/yr), 1300 in fees/semester,"	"$25,750"	"NA"	"NA"	"$2,600"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Colorado State University"	"Chemistry"	24200	"1.08"	"2020-2021"	"2nd"	"First Year fees are more than double this, but I was offered a fellowship which covered their cost. <span class=\\truncated\\> Also includes full healthcare coverage through the university.</span>"	"$25,000"	"NA"	"NA"	"$800"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Colorado State University"	"Chemistry"	23925	"1.07"	"2022-2023"	"1st"	"NA"	"$26,525"	"NA"	"NA"	"$2,600"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Colorado State University"	"Chemistry"	26525	"1.18"	"2020-2021"	"NA"	"Health Insurance Coverage"	"$26,525"	"NA"	"NA"	"NA"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Colorado State University"	"Chemistry"	26525	"1.18"	"2020-2021"	"NA"	"NA"	"$26,525"	"NA"	"NA"	"NA"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Columbia University"	"Chemistry"	44000	"1.48"	"2021-2022"	"3rd"	"NA"	"$44,000"	"NA"	"NA"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"Cornell University"	"Chemistry"	36306	"1.50"	"2020-2021"	"1st"	"NA"	"$36,306"	"NA"	"NA"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Cornell University"	"Chemistry"	36360	"1.50"	"2020-2021"	"NA"	"NA"	"$36,360"	"NA"	"NA"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Duke University"	"Chemistry"	30000	"1.35"	"2022-2023"	"NA"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	"10"	35838.4	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Duke University"	"Chemistry"	38600	"1.74"	"2023-2024"	"1st"	"Health and Dental are 100% covered.  All fees are covered."	"$38,600"	"NA"	"NA"	"NA"	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	"10"	35838.4	12875.2	0	0	"2023"
"Chemistry"	"Arts and Sciences"	"Emory University"	"Chemistry"	31775	"1.36"	"2021-2022"	"NA"	"NA"	"$31,775"	"NA"	"NA"	"NA"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"21"	38209.6	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"Emory University"	"Chemistry"	31775	"1.36"	"2020-2021"	"1st"	"~$250 in fees/semester, healthcare and tuition are covered 100%, other scholarships available"	"$31,775"	"NA"	"NA"	"NA"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"21"	38209.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Emory University"	"Chemistry"	31775	"1.36"	"2020-2021"	"1st"	"NA"	"$31,775"	"NA"	"NA"	"NA"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"21"	38209.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Emory University"	"Chemistry"	31775	"1.36"	"2020-2021"	"2nd"	"http://chemistry.emory.edu/home/graduate/index.html"	"$31,775"	"NA"	"NA"	"NA"	"Emory University"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"21"	38209.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Florida International University"	"Chemistry"	23400	"0.98"	"2020-2021"	"2nd"	"NA"	"$24,000"	"NA"	"NA"	"$600"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	"218"	36420.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Florida International University"	"Chemistry"	22000	"0.92"	"2020-2021"	"1st"	"NA"	"$24,000"	"NA"	"NA"	"$2,000"	"Florida International University"	"Miami, FL"	"Miami-Fort Lauderdale-West Palm Beach, FL"	"218"	36420.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Florida State University"	"Chemistry"	24241	"1.04"	"2021-2022"	"1st"	"NA"	"$24,241"	"NA"	"NA"	"NA"	"Florida State University"	"Tallahassee, FL"	"Tallahassee, FL"	"57"	32656	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"George Washington University"	"Chemistry"	35560	"1.15"	"2021-2022"	"6th and up"	"Graduate student subsidize health insurance: $565/year or $47/ month"	"$35,570"	"NA"	"NA"	"$10"	"George Washington University"	"Washington, DC"	"Washington-Arlington-Alexandria, DC"	"70"	45905.6	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"Georgetown University"	"Chemistry"	36693	"1.19"	"2022-2023"	"1st"	"NA"	"$36,693"	"NA"	"NA"	"NA"	"Georgetown University"	"Washington, DC"	"Washington-Arlington-Alexandria, DC"	"24"	45905.6	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Georgia Institute of Technology"	"Chemistry"	24800	"1.06"	"2020-2021"	"NA"	"NA"	"$28,000"	"NA"	"NA"	"$3,200"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Illinois Institute of Technology"	"Chemistry"	9400	"0.39"	"2020-2021"	"2nd"	"NA"	"NA"	"$1,900"	"$8,500"	"$1,000"	"Illinois Institute of Technology"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"117"	38313.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Iowa State University"	"Chemistry"	25354	"1.19"	"2021-2022"	"1st"	"NA"	"$26,604"	"NA"	"NA"	"$1,250"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"Iowa State University"	"Chemistry"	23565	"1.11"	"2020-2021"	"2nd"	"NA"	"$23,940"	"NA"	"NA"	"$375"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Iowa State University"	"Chemistry"	25376	"1.20"	"2021-2022"	"4th"	"NA"	"$26,819"	"NA"	"NA"	"$1,443"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2021"
"Chemistry"	"Arts and Sciences"	"Johns Hopkins University"	"Chemistry"	32470	"1.26"	"2020-2021"	"3rd"	"NA"	"$32,470"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Johns Hopkins University"	"Chemistry"	32470	"1.26"	"2020-2021"	"1st"	"NA"	"$32,470"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Johns Hopkins University"	"Chemistry"	32400	"1.26"	"2020-2021"	"3rd"	"NA"	"$32,400"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Johns Hopkins University"	"Chemistry"	32470	"1.26"	"2022-2023"	"1st"	"NA"	"$32,470"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Johns Hopkins University"	"Chemistry"	34000	"1.32"	"2022-2023"	"5th"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"Lehigh University"	"Chemistry"	31500	"1.41"	"2020-2021"	"2nd"	"NA"	"NA"	"$25,000"	"$6,500"	"NA"	"Lehigh University"	"Bethlehem, PA"	"Allentown-Bethlehem-Easton, PA"	"50"	34756.8	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Marquette University"	"Chemistry"	26000	"1.21"	"2020-2021"	"1st"	"NA"	"$26,000"	"NA"	"NA"	"NA"	"Marquette University"	"Milwaukee, WI"	"Milwaukee-Waukesha-West Allis, WI"	"84"	33779.2	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Michigan State University"	"Chemistry"	27980	"1.36"	"2020-2021"	"5th"	"NA"	"$28,000"	"NA"	"NA"	"$20"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2020"
"Chemistry"	"Arts and Sciences"	"Michigan State University"	"Chemistry"	28208	"1.38"	"2022-2023"	"4th"	"NA"	"$28,208"	"NA"	"NA"	"NA"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2022"
"Chemistry"	"Arts and Sciences"	"North Carolina State University"	"Chemistry"	23500	"1.03"	"2020-2021"	"1st"	"Required to pay student fee"	"$25,500"	"NA"	"NA"	"$2,000"	"North Carolina A&T State University"	"Greensboro, NC"	"Greensboro-High Point, NC"	"281"	33529.6	12875.2	0.0703533026113672	0	"2020"
"Chemistry"	"Arts and Sciences"	"North Carolina State University"	"Chemistry"	23000	"1.01"	"2020-2021"	"4th"	"NA"	"$25,500"	"NA"	"NA"	"$2,500"	"North Carolina A&T State University"	"Greensboro, NC"	"Greensboro-High Point, NC"	"281"	33529.6	12875.2	0.0703533026113672	0	"2020"
"Chemistry"	"Arts and Sciences"	"Northwestern University"	"Chemistry"	33504	"1.38"	"2020-2021"	"1st"	"I have an additional fellowship that is $10,000/year, so actually making $43,504 before taxes"	"$33,504"	"NA"	"NA"	"NA"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0.0289855072463768	0	"2020"
"Chemistry"	"Arts and Sciences"	"Oregon State University"	"Chemistry"	27120	"1.30"	"2020-2021"	"1st"	"Tuition is covered and 90% of health insurance (dental, vision, and health) is covered."	"$27,120"	"NA"	"NA"	"NA"	"Oregon State University"	"Corvallis, OR"	"Corvallis, OR"	"139"	38500.8	12875.2	0	0	"2020"
